Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Application),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Environment),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Results),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Incident manager),Custom field (Issue color),Custom field (Locked forms),Custom field (Module),Custom field (Open forms),Custom field (Platform),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Severity),Custom field (Start date),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (User Story),Custom field (Version),Custom field (Vulnerability),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Status Category,Status Category Changed
Dashboard cards disappear after applying global filter and reappear only after page refresh,AS-222,11305,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Chander Shekhar,712020:61d1f4c2-579c-4cb6-b9bd-d4311c398ce1,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 2:36 PM,11/Sep/26 7:14 PM,,,0,charts,dashboard,filter,functional,global-filter,kpi-cards,trackofy,Trackofy,ui,,,Applying a global filter causes some dashboard cards to disappear instead of updating their data. They reappear only after a page refresh.,,Chander Shekhar,divakar,712020:61d1f4c2-579c-4cb6-b9bd-d4311c398ce1,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,Some cards disappear after applying the filter and return only after refreshing the page.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,All configured cards should remain visible and update their data according to the selected global filter.,,,,,,,Dashboard → Global Filter,,Web,,,0|i000uz:,,,High,,"1. Navigate to Dashboard.
2. Ensure multiple cards are displayed.
3. Apply a global filter.
4. Observe the cards.
5. Refresh the page.
6. Observe the dashboard.",,,,,,,,,V6.2,,,2026-09-11 04:52:00.197,,11/Sep/26 10:22 AM;712020:61d1f4c2-579c-4cb6-b9bd-d4311c398ce1;This is not a bug some card has no historical data. ,,To Do,11/Sep/26 2:36 PM
View Summary  in Distance Chart report keeps loading endlessly,AS-221,11304,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Keshav Sharma,712020:63fc7ded-0119-4626-af31-c1cd305b4c33,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,10/Sep/26 3:12 PM,10/Sep/26 3:10 PM,,,0,bar-chart,chart,distance-chart,functional,reports,trackofy,Trackofy,ui,,,,view summary keeps loading in the reports,,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,Summary Keeps Loading,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,Summary should load,,,,,,,Reports → Distance Chart,,Web,,,0|i000ur:,,,High,,"1. Navigate to Reports → Distance Chart.
2. Generate a report.
3. Click on View Summary icon.
4. Observe the popup.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
Dashboard settings widget is clipped when all KPI cards are removed,AS-220,11303,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 12:19 PM,08/Sep/26 12:18 PM,,,0,accessibility,dashboard,kpi-cards,layout,responsive,settings,trackofy,Trackofy,ui,widget,,"When all KPI cards are removed from the dashboard header, the Settings icon shifts left and its settings widget opens partially outside the viewport, making controls inaccessible.",,divakar,Smriti Singh,712020:63217d10-ba4d-43b3-932b-edc4035eb689,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,,,,,,,,,08/Sep/26 12:19 PM;ug:00e6473d-38d0-475c-828b-f49ed6d7bd06;kpi cards issue.png;https://systemsatlanta.atlassian.net/rest/api/3/attachment/content/10731,,The Settings icon moves left and the settings widget is clipped outside the viewport.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The Settings icon and widget should remain within the viewport and all controls should be accessible.,,,,,,,Dashboard → KPI Cards / Settings,,Web,,,0|i000uj:,,,High,,"1. Navigate to Dashboard.
2. Open KPI card settings.
3. Remove all KPI cards.
4. Observe the Settings icon.
5. Click it.
6. Observe the widget.",,,,,,,,,V6.2,,,2026-09-08 05:52:41.266,,"08/Sep/26 11:22 AM;712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd;Now in widget settings there is a limitation that user have to select minimum 6 categories, so kpi can never be empty.",,To Do,07/Sep/26 3:26 PM
Scheduled reports are not received on the configured email address,AS-219,11302,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Keshav Sharma,712020:63fc7ded-0119-4626-af31-c1cd305b4c33,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,10/Sep/26 3:12 PM,10/Sep/26 2:18 PM,,,0,email,notification,report-delivery,reports,scheduled-reports,trackofy,Trackofy,,,,,Reports scheduled with a valid recipient email address are not delivered after the scheduled execution time.,,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,The scheduled report is not received on the configured email address.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The scheduled report should be generated and delivered to the configured email address.,,,,,,,Reports → Schedule Reports,,Web,,,0|i000ub:,,,High,,"1. Navigate to Reports → Schedule Reports.
2. Create a scheduled report with a valid email.
3. Save the schedule.
4. Wait for execution.
5. Check the inbox and spam/junk folder.",,,,,,,,,V6.2,,,,,,,To Do,10/Sep/26 3:12 PM
Table visibility is poor in Dark Mode due to inappropriate color combination,AS-218,11301,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 11:13 AM,,,,0,accessibility,contrast,dark-mode,downloads,table,trackofy,Trackofy,ui,ux,,,"The Downloads table has an inappropriate color combination in Dark Mode. Background, header, borders and text colors provide insufficient visual contrast.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The current color scheme has poor contrast, making table content and controls difficult to read.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The table should use sufficient contrast so headers, data, borders and controls are clearly visible.",,,,,,,Downloads,,Web,,,0|i000u3:,,,Low,,"1. Log in to Trackofy.
2. Enable Dark Mode.
3. Navigate to Downloads.
4. Observe the table and pagination controls.",,,,,,,,,V6.2,,,,,,,To Do,08/Sep/26 11:13 AM
Print preview of generated report has unreadable table formatting,AS-217,11300,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 2:56 PM,,,,0,export,fleet-summary,layout,print,print-preview,reports,trackofy,Trackofy,ui,,,The print preview does not maintain a readable table layout. Column headers and cell values are compressed into extremely narrow columns and wrap character-by-character.,,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"The print preview has severely compressed columns, making the table unreadable.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The print preview should maintain readable column widths, headers and cell values.",,,,,,,Reports → Fleet Summary,,Web,,,0|i000tv:,,,High,,"1. Navigate to Reports.
2. Generate a Fleet Summary report.
3. Open the report.
4. Click Print.
5. Observe the print preview.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
Exported report contains only records displayed on the first pagination page,AS-216,11299,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 11:02 AM,,,,0,data-export,export,pagination,report-download,reports,trackofy,Trackofy,,,,,"Exported reports contain only records displayed on the current pagination page instead of all records. For example, 1–10 / 23 exports only 10 records.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,The downloaded report contains only the 10 records displayed on the current page.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,"The exported report should contain all records in the generated report, e.g. all 23 records.",,,,,,,Reports,,Web,,,0|i000tn:,,,High,,"1. Navigate to Reports.
2. Generate a report with more records than the page size.
3. Verify pagination such as 1–10 /
23.
4. Use an Export option.
5. Open the downloaded file.",,,,,,,,,V6.2,,,,,,,To Do,10/Sep/26 3:12 PM
View Chart button displays a blank popup after report generation,AS-215,11298,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 11:16 AM,,,,0,charts,functional,reports,trackofy,Trackofy,ui,view-chart,,,,,"After generating a report, clicking the View Chart button opens a popup/wizard, but no chart or data is displayed.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,A blank popup/wizard is displayed with no chart or data.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The View Chart popup should display the relevant chart/data.,,,,,,,Reports → Generated Reports,,Web,,,0|i000tf:,,,High,,"1. Navigate to Reports.
2. Generate any report.
3. Open the generated report.
4. Click View Chart.
5. Observe the popup/wizard.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
Invalid email format is accepted while scheduling a report,AS-214,11297,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,High,,Smriti Singh,712020:f73cd1d4-1898-4661-81a4-15f4ec8d2dfd,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,08/Sep/26 4:13 PM,07/Sep/26 4:27 PM,,,0,email-validation,input-validation,reports,schedule-reports,trackofy,Trackofy,,,,,,The email field in the Schedule Reports form accepts invalid email formats such as test@test without displaying a validation error.,,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,The system accepts test@test and allows the report to be scheduled.,,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,The system should reject invalid email addresses and display a clear validation message.,,,,,,,Reports → Schedule Reports,,Web,,,0|i000t7:,,,High,,"1. Navigate to Reports → Schedule Reports.
2. Create or schedule a report.
3. Enter test@test in the email field.
4. Fill in the required fields.
5. Click Schedule/Save.",,,,,,,,,V6.2,,,,,,,To Do,07/Sep/26 3:26 PM
Manage Plan search box returns unrelated plans that do not match the query,AS-213,11296,Bug,Ready for QA,AS,Atlanta Systems,software,Atlanta Systems,712020:e66930c7-bc11-4320-ade0-445deb2a1124,,Medium,,Shivam Verma,712020:848aa87f-a76c-478c-9902-ce2141e48996,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,divakar,712020:63217d10-ba4d-43b3-932b-edc4035eb689,07/Sep/26 3:26 PM,11/Sep/26 4:01 PM,,,,0,admin-panel,filter,plan,search,trackofy,,,,,,,"Searching Manage Plan for a real, exact plan name narrows the result count but the filtered set includes at least one plan whose name has no relation to the query at all -- the filter is imprecise/broken, not inert.",,divakar,,712020:63217d10-ba4d-43b3-932b-edc4035eb689,,,,,,,,,,,,"Searching ""Platinum"" narrowed 10 rows to 5, but the 5 returned were [""Platinum"", ""Gold"", ""Platinum_bms"", ""Platinum 4"", ""Platinum (4)""] -- ""Gold"" does not match ""Platinum"" by substring, prefix, or any visible relation, yet is included every time.",,,Trackofy,ApprovalsCFValue{approvals=[]},,,,,,Staging,,,,,Only plans whose name actually matches the search query should be returned.,,,,,,,Admin Panel - Plan,,Web,,,0|i0009t:,,,Medium,,"1. Open Admin Panel > Plan > Manage Plan.
2. Note a real plan name from row 1 of the unfiltered list (e.g. ""Platinum"").
3. Enter that exact name into the Search box and press Enter.
4. Compare the returned plan names against the search query.",,,,,,,,,V6.2,,,,,,,To Do,08/Sep/26 12:19 PM
