Bug ID,Summary,Issue Type,Application,Module,Description,Platform,Version,Environment,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Labels,Screenshot,Reverification Note
1,'Today' quick date-filter sends an empty date range,Bug,Trackofy,Dashboard,Selecting the Today quick filter on a dashboard card issues the underlying API request with empty from_date/to_date parameters instead of today's date.,Web,V6.2,Staging,1. Log in and open Dashboard (/home). 2. Open any KPI/card date filter. 3. Select the 'Today' quick filter. 4. Inspect the API request payload.,The API request should carry today's actual date as from_date/to_date and the card should show only today's data.,The request is sent with empty from_date/to_date parameters; the card shows unfiltered (all-time) data instead of today's.,Major,Medium,"dashboard,date-filter,api,functional",Bug_Report_Screenshots/bug_01_dashboard_today_filter.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- identical POST body with empty from_date/to_date across 3 independent fresh sessions.
2,No validation on Configuration Expression (TC-120),Bug,Trackofy,Unit - Custom Sensors,Entering a malformed Configuration Expression does not disable Save Config and shows no inline validation error.,Web,V6.2,Staging,1. Open a Unit's Settings > Custom Sensors. 2. Add/Edit a sensor. 3. Enter a malformed Configuration Expression (missing operand/garbled syntax). 4. Observe Save Config button and any inline error.,Save Config should be disabled and a validation error shown for an invalid expression.,Save Config remains enabled and the invalid expression is accepted/submitted with no warning.,Major,Medium,"unit,custom-sensors,validation,input-validation",Bug_Report_Screenshots/bug_02_03_04_unit_list.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- Save Config stayed enabled with no inline error across 3 different malformed expressions, each in a fresh session."
3,No maxlength or validation on Sensor Configuration Name (TC-106),Bug,Trackofy,Unit - Custom Sensors,The Sensor Configuration Name field has no maxlength attribute and accepts an unbounded string (tested with 300 characters) with no validation error.,Web,V6.2,Staging,1. Open a Unit's Settings > Custom Sensors. 2. Add a sensor. 3. Enter a 300+ character Sensor Configuration Name. 4. Save.,The field should enforce a reasonable maxlength with a validation error for excessive length.,"An unbounded string is accepted with no validation error; the UI table later truncates long names with '...', producing confusing rows.",Minor,Medium,"unit,custom-sensors,validation,input-validation",Bug_Report_Screenshots/bug_02_05_unit_page.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- no maxlength attribute, full 300-char value accepted with no validation error, 3 fresh sessions."
4,Duplicate sensor name: raw SQL error leaks through the API (TC-104),Bug,Trackofy,Unit - Custom Sensors,"Saving a sensor with a name that already exists returns an HTTP 500 with a raw, unhandled database error in the response body.",Web,V6.2,Staging,1. Open a Unit's Settings > Custom Sensors. 2. Create a sensor config with a name that already exists for that unit. 3. Save. 4. Inspect the API response.,A clean 400/409 validation response with a user-friendly duplicate-name message should be returned.,HTTP 500 from POST .../api/user/config with raw SQLSTATE 23505 unique-constraint error text (table/column names) in the response body.,Major,High,"unit,custom-sensors,sql-error,information-disclosure,api",Bug_Report_Screenshots/bug_02_03_04_unit_list.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- byte-identical raw SQL 500 body on duplicate sensor name across 3 fresh sessions.
5,Intermittent 500 from unit_general/get on a plain settings reload,Bug,Trackofy,Unit,"POST /api/unit_general/get intermittently returns 500 during normal Unit Settings reload/open flows, more frequently under concurrent access to the same unit.",Web,V6.2,Staging,"1. Open Unit Settings for a unit. 2. Reload/reopen the General tab repeatedly, optionally from multiple sessions concurrently. 3. Monitor network responses.",The General tab should reliably load live data with no server errors.,Intermittent HTTP 500 {'message':'Server Error'} from unit_general/get (and related unit-get-profile/unit-get-service endpoints); UI does not surface the failure.,Major,Medium,"unit,backend,concurrency,intermittent,server-error",Bug_Report_Screenshots/bug_02_05_unit_page.png,"Reverified 2026-09-07 (live 3x pass): NOT REPRODUCED this pass (0/3) -- 3 fresh sessions x 5 sequential Unit Settings reloads (15 cycles total) all returned HTTP 200. Consistent with the bug's own documented intermittent/concurrency-dependent nature (a plain sequential-reload flow doesn't recreate the concurrent-access condition originally implicated) -- not reproducing under this test shape does not invalidate the original finding; kept as documented, not withdrawn."
6,Playback From/To Date: entered value is silently transposed (day/month swapped),Bug,Trackofy,Tracking - Playback,"From/To Date fields display DD/MM/YYYY but any entered value is parsed as MM/DD/YYYY, silently swapping day and month for day<=12. Also confirmed in Reports' Start/End Date fields.",Web,V6.2,Staging,"1. Open Tracking > Playback (or Reports standard report). 2. Enter a date with day <=12, e.g. 03/09/2026 intending 3 September. 3. Observe the redisplayed value.","The entered date should be interpreted and redisplayed as DD/MM/YYYY, i.e. 3 September stays 03/09/2026.","The value is silently reinterpreted as MM/DD (9 March) and redisplayed as 09/03/2026, with no warning.",Major,High,"tracking,playback,reports,date-parsing,data-integrity",Bug_Report_Screenshots/bug_06_07_tracking_page.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 on both Tracking Playback's From Date and Reports' Start Date fields.
7,'Playback View' preset doesn't reliably return to the Playback tab,Bug,Trackofy,Tracking - Playback,"After playback data has loaded and the panel is collapsed then reopened via 'Playback View', the panel shows the Live Tracking tab instead of Playback, despite playback controls still being visible on the map.",Web,V6.2,Staging,1. Load playback data for a unit. 2. Collapse the bottom panel (Map Focus). 3. Reopen it via the 'Playback View' preset button. 4. Observe which tab is shown.,"The panel should reopen on the Playback tab, consistent with the button's own label.","The panel reopens on the Live Tracking tab instead, while playback player controls remain visible above it.",Minor,Medium,"tracking,playback,state,ui,functional",Bug_Report_Screenshots/bug_06_07_tracking_page.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
8,Names are not unique-constrained across Settings entities,Bug,Trackofy,Settings - Location Control / Vehicle Group,"Creating a second Location Control or Vehicle Group record with a name identical to an existing one succeeds with no validation error, confirmed on both entities.",Web,V6.2,Staging,1. Open Settings > Location Control (or Vehicle Group). 2. Create a record using a name that already exists. 3. Save.,The system should reject or warn about the duplicate name.,The duplicate record is created successfully with no warning; two rows share the same name with nothing to distinguish them.,Major,Medium,"settings,location-control,vehicle-group,validation,data-integrity",Bug_Report_Screenshots/bug_08_09_location_control.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 on both Location Control and Vehicle Group.
9,Assign Unit dialog: 'Assign Units' button never enables (feature unusable),Bug,Trackofy,Settings - Location Control,"In the 'Assign units to location' dialog, selecting vehicles registers at the option level but the dialog's own selected-count badge stays at '0 selected', keeping Assign Units permanently disabled.",Web,V6.2,Staging,1. Open Settings > Location Control. 2. Open 'Assign units to location' for any location. 3. Select one or more vehicles from the multi-select. 4. Observe the selected-count badge and the Assign Units button.,The counter should reflect the real selection and Assign Units should enable once at least one vehicle is selected.,The counter stays at '0 selected' regardless of selection and Assign Units remains permanently disabled -- the feature cannot be used via the UI.,Major,High,"settings,location-control,assign-unit,functional,blocker",Bug_Report_Screenshots/bug_08_09_location_control.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
10,POI Alert creation fails server-side despite a fully valid form,Bug,Trackofy,Settings - Alerts,"Creating a POI Alert with a valid unit, POI, and notification channel selected (Angular form reports fully valid, Create Alert enabled) fails server-side with 'Missing required fields'.",Web,V6.2,Staging,"1. Open Settings > Alert > POI Alert. 2. Select a unit, a POI, and a notification channel. 3. Click Create Alert.",The alert should be created successfully given a fully valid form.,"An error toast 'Missing required fields' appears and the dialog stays open, with no indication of which field is actually missing.",Major,High,"settings,alerts,poi,validation,functional",Bug_Report_Screenshots/bug_10_11_alerts.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
